# Time-averaged data for fix print2
# TimeStep c_CG[1] c_CG[2] c_CG[3] c_LG[1] c_LG[2] c_LG[3]
40100 50 50.0015 0.501539 -0.582931 0 0
40200 50 50.0015 0.501547 -0.582931 0 0
40300 50 50.0015 0.501555 -0.582931 0 0
40400 50 50.0015 0.501563 -0.582931 0 0
40500 50 50.0015 0.501571 -0.582931 0 0
40600 50 50.0015 0.501579 -0.582931 0 0
40700 50 50.0015 0.501587 -0.582931 0 0
40800 50 50.0015 0.501595 -0.582931 0 0
40900 50 50.0015 0.501603 -0.582931 0 0
41000 50 50.0015 0.501611 -0.582931 0 0
41100 50 50.0015 0.501619 -0.582931 0 0
41200 50 50.0015 0.501627 -0.582931 0 0
41300 50 50.0015 0.501635 -0.582931 0 0
41400 50 50.0015 0.501643 -0.582931 0 0
41500 50 50.0015 0.501651 -0.582931 0 0
41600 50 50.0015 0.501659 -0.582931 0 0
41700 50 50.0015 0.501667 -0.582931 0 0
41800 50 50.0015 0.501675 -0.582931 0 0
41900 50 50.0015 0.501683 -0.582931 0 0
42000 50 50.0015 0.501691 -0.582931 0 0
42100 50 50.0016 0.501699 -0.582931 0 0
42200 50 50.0016 0.501707 -0.582931 0 0
42300 50 50.0016 0.501715 -0.582931 0 0
42400 50 50.0016 0.501723 -0.582931 0 0
42500 50 50.0016 0.501731 -0.582931 0 0
42600 50 50.0016 0.501739 -0.582931 0 0
42700 50 50.0016 0.501747 -0.582931 0 0
42800 50 50.0016 0.501755 -0.582931 0 0
42900 50 50.0016 0.501763 -0.582931 0 0
43000 50 50.0016 0.501771 -0.582931 0 0
43100 50 50.0016 0.501779 -0.582931 0 0
43200 50 50.0016 0.501787 -0.582931 0 0
43300 50 50.0016 0.501795 -0.582931 0 0
43400 50 50.0016 0.501803 -0.582931 0 0
43500 50 50.0016 0.501811 -0.582931 0 0
43600 50 50.0016 0.501819 -0.582931 0 0
43700 50 50.0016 0.501827 -0.582931 0 0
43800 50 50.0016 0.501835 -0.582931 0 0
43900 50 50.0016 0.501843 -0.582931 0 0
44000 50 50.0016 0.501851 -0.582931 0 0
44100 50 50.0016 0.501859 -0.582931 0 0
44200 50 50.0016 0.501867 -0.582931 0 0
44300 50 50.0016 0.501875 -0.582931 0 0
44400 50 50.0016 0.501883 -0.582931 0 0
44500 50 50.0016 0.501891 -0.582931 0 0
44600 50 50.0016 0.501899 -0.582931 0 0
44700 50 50.0017 0.501907 -0.582931 0 0
44800 50 50.0017 0.501915 -0.582931 0 0
44900 50 50.0017 0.501923 -0.582931 0 0
45000 50 50.0017 0.501931 -0.582931 0 0
45100 50 50.0017 0.501939 -0.582931 0 0
45200 50 50.0017 0.501947 -0.582931 0 0
45300 50 50.0017 0.501955 -0.582931 0 0
45400 50 50.0017 0.501963 -0.582931 0 0
45500 50 50.0017 0.501971 -0.582931 0 0
45600 50 50.0017 0.501979 -0.582931 0 0
45700 50 50.0017 0.501987 -0.582931 0 0
45800 50 50.0017 0.501995 -0.582931 0 0
45900 50 50.0017 0.502003 -0.582931 0 0
46000 50 50.0017 0.502011 -0.582931 0 0
46100 50 50.0017 0.502019 -0.582931 0 0
46200 50 50.0017 0.502027 -0.582931 0 0
46300 50 50.0017 0.502035 -0.582931 0 0
46400 50 50.0017 0.502043 -0.582931 0 0
46500 50 50.0017 0.502051 -0.582931 0 0
46600 50 50.0017 0.502059 -0.582931 0 0
46700 50 50.0017 0.502067 -0.582931 0 0
46800 50 50.0017 0.502075 -0.582931 0 0
46900 50 50.0017 0.502083 -0.582931 0 0
47000 50 50.0017 0.502091 -0.582931 0 0
47100 50 50.0017 0.502099 -0.582931 0 0
47200 50 50.0017 0.502107 -0.582931 0 0
47300 50 50.0018 0.502115 -0.582931 0 0
47400 50 50.0018 0.502123 -0.582931 0 0
47500 50 50.0018 0.502131 -0.582931 0 0
47600 50 50.0018 0.502139 -0.582931 0 0
47700 50 50.0018 0.502147 -0.582931 0 0
47800 50 50.0018 0.502155 -0.582931 0 0
47900 50 50.0018 0.502163 -0.582931 0 0
48000 50 50.0018 0.502171 -0.582931 0 0
48100 50 50.0018 0.502179 -0.582931 0 0
48200 50 50.0018 0.502187 -0.582931 0 0
48300 50 50.0018 0.502195 -0.582931 0 0
48400 50 50.0018 0.502203 -0.582931 0 0
48500 50 50.0018 0.502211 -0.582931 0 0
48600 50 50.0018 0.502219 -0.582931 0 0
48700 50 50.0018 0.502227 -0.582931 0 0
48800 50 50.0018 0.502235 -0.582931 0 0
48900 50 50.0018 0.502243 -0.582931 0 0
49000 50 50.0018 0.502251 -0.582931 0 0
49100 50 50.0018 0.502259 -0.582931 0 0
49200 50 50.0018 0.502267 -0.582931 0 0
49300 50 50.0018 0.502275 -0.582931 0 0
49400 50 50.0018 0.502283 -0.582931 0 0
49500 50 50.0018 0.502291 -0.582931 0 0
49600 50 50.0018 0.502299 -0.582931 0 0
49700 50 50.0018 0.502307 -0.582931 0 0
49800 50 50.0018 0.502315 -0.582931 0 0
49900 50 50.0019 0.502323 -0.582931 0 0
50000 50 50.0019 0.502331 -0.582931 0 0
